uä,118
ja,189
kk,169
äa,16
dm,62
ok,53
hb,52
yr,5
fm,12
lr,23
ao,7
up,166
pn,9
zr,47
sn,69
lv,19
mc,12
mr,57
zn,19
äk,77
kb,13
zp,5
vl,7
gd,12
pm,7
zm,58
hh,35
mw,15
fc,9
gb,15
gk,93
tf,58
fh,19
zh,20
ov,36
zv,19
sk,64
äf,92
gö,5
wö,12
lö,83
öb,27
üä,117
iö,12
kz,18
nj,61
nw,29
cu,12
hf,21
äü,3
rö,132
vf,1
lk,66
ax,30
äz,54
nü,98
ps,63
ws,20
bz,18
iü,34
üo,229
uo,167
ry,28
üu,12
uü,7
xj,2
kj,15
tp,12
sj,42
mh,32
dg,25
tc,32
dz,19
äe,9
oz,124
üj,2
fj,47
jb,1
bv,6
oe,9
wg,6
zd,6
äw,16
kh,27
wy,2
yz,1
df,24
öu,15
js,6
üg,84
äö,2
öv,8
bc,21
dö,9
mü,180
tv,48
ay,26
yl,1
kv,2
kn,33
mk,17
äv,8
pü,17
öd,11
kd,5
pb,2
kg,13
ix,13
mg,27
ca,21
kc,18
vü,2
sö,25
wn,2
öm,19
kö,28
zk,4
xa,18
hd,20
pg,5
bh,27
dh,46
ük,5
öp,15
fk,9
eq,7
yn,9
mf,16
bf,6
ou,74
ly,11
yp,14
dv,23
pj,27
üw,25
öä,16
nv,21
aä,15
wt,14
uj,3
yt,4
üa,5
oj,20
pc,2
iy,5
ae,25
dk,6
fw,19
äx,6
mö,26
aö,7
mj,13
hv,8
vg,4
bd,10
dc,21
yh,1
bk,10
xe,13
öf,17
öö,42
xi,8
ym,9
tq,1
fv,4
ny,25
yd,22
xo,2
üz,18
yk,9
gy,7
kü,22
äo,3
ox,3
xy,1
wd,3
co,14
zö,26
uö,9
zc,9
aj,8
eö,1
cl,3
rq,2
dp,7
kf,8
km,2
gp,3
öa,2
xu,3
nö,14
öw,2
jü,8
bj,28
jr,1
jl,3
cp,1
wb,5
üv,1
cc,8
pz,2
cr,1
wr,6
uy,7
dy,4
pw,2
öj,3
qg,1
kw,9
wv,1
gz,14
vö,2
jj,5
sy,18
yc,4
oä,4
ty,4
wh,2
ye,17
oq,5
qn,4
qw,3
yi,1
gq,1
oy,21
ys,27
jy,4
zy,1
pq,2
sq,1
qy,2
yg,2
qa,1
yu,5
nq,3
py,4
qr,1
jk,1
uq,1
jd,2
my,5
aq,3
ql,1
lq,1
fy,1
jn,2
iq,8
yj,1
xp,3
mz,5
jt,1
vw,1
vn,1
wl,1
vy,2
yf,1
by,5
vd,2
fö,4
hq,1
aü,4
kp,2
eü,1
hy,3
ky,9
gv,4
xn,1
xä,2
yä,6
kq,2
pd,1
oö,1
vm,1
jö,1
jm,1
xw,1
cm,1
cj,1
xr,1
jc,1
öe,1
oü,1
